iter	Passed	Remaining
0	3	384
1	7	359
2	11	368
3	14	338
4	17	332
5	20	325
6	24	328
7	28	324
8	31	322
9	35	316
10	39	322
11	43	317
12	46	311
13	49	306
14	54	306
15	57	302
16	61	298
17	64	293
18	68	292
19	72	288
20	75	283
21	79	280
22	82	277
23	85	269
24	87	261
25	89	254
26	91	247
27	95	245
28	98	241
29	100	234
30	102	228
31	105	223
32	108	219
33	111	216
34	113	210
35	115	205
36	117	200
37	119	195
38	123	193
39	126	189
40	128	184
41	128	177
42	130	172
43	131	167
44	133	163
45	135	158
46	136	153
47	137	149
48	139	144
49	140	140
50	141	136
51	143	132
52	144	127
53	145	123
54	146	119
55	147	116
56	149	112
57	150	108
58	151	105
59	153	102
60	154	98
61	155	95
62	157	92
63	158	89
64	159	86
65	161	83
66	162	80
67	163	77
68	164	74
69	165	71
70	167	68
71	168	65
72	169	62
73	170	59
74	171	57
75	172	54
76	173	51
77	175	49
78	176	46
79	177	44
80	178	41
81	179	39
82	180	37
83	182	34
84	183	32
85	184	30
86	185	27
87	186	25
88	187	23
89	189	21
90	190	18
91	191	16
92	192	14
93	193	12
94	194	10
95	195	8
96	197	6
97	198	4
98	199	2
99	200	0
