iter	Passed	Remaining
0	161	161328
1	165	82430
2	167	55670
3	170	42441
4	172	34345
5	175	29126
6	177	25202
7	179	22205
8	180	19860
9	181	17980
10	182	16449
11	183	15149
12	185	14052
13	186	13108
14	187	12317
15	190	11711
16	191	11086
17	192	10517
18	193	10007
19	194	9547
20	195	9136
21	197	8762
22	198	8418
23	199	8099
24	200	7807
25	201	7537
26	203	7341
27	205	7123
28	206	6909
29	207	6707
30	208	6515
31	209	6335
32	210	6166
33	211	6014
34	212	5866
35	213	5725
36	214	5591
37	215	5465
38	218	5383
39	219	5278
40	221	5169
41	222	5066
42	223	4967
43	224	4876
44	225	4786
45	226	4698
46	227	4614
47	228	4534
48	229	4457
49	231	4397
50	232	4335
51	236	4305
52	237	4238
53	238	4175
54	239	4115
55	240	4055
56	241	3996
57	242	3940
58	243	3886
59	244	3836
60	247	3808
61	248	3764
62	250	3723
63	252	3689
64	253	3649
65	254	3607
66	255	3564
67	257	3523
68	258	3482
69	259	3442
70	261	3423
71	263	3391
72	264	3355
73	265	3324
74	267	3299
75	269	3273
76	270	3244
77	272	3216
78	273	3188
79	277	3186
80	278	3162
81	280	3138
82	281	3105
83	282	3079
84	283	3051
85	284	3026
86	286	3001
87	287	2976
88	288	2953
89	292	2955
90	293	2932
91	294	2910
92	295	2886
93	297	2862
94	298	2839
95	299	2816
96	300	2793
97	301	2771
98	302	2749
99	303	2729
100	305	2723
101	307	2711
102	309	2693
103	310	2673
104	311	2654
105	312	2634
106	313	2616
107	314	2598
108	315	2580
109	316	2562
110	317	2545
111	320	2540
112	321	2526
113	322	2509
114	323	2493
115	324	2476
116	325	2458
117	326	2443
118	327	2427
119	328	2411
120	329	2396
121	330	2380
122	331	2365
123	334	2364
124	336	2353
125	337	2339
126	338	2324
127	339	2310
128	340	2297
129	341	2285
130	342	2271
131	343	2259
132	344	2246
133	345	2234
134	347	2225
135	349	2221
136	350	2210
137	352	2203
138	354	2194
139	355	2185
140	356	2173
141	357	2160
142	358	2149
143	359	2138
144	360	2127
145	363	2124
146	364	2115
147	365	2104
